NCT00097734
NCT00174525
NCT00594516
NCT00730587
NCT00737958
NCT00791427
NCT01301118
NCT01317927
NCT01573676
NCT01588119
NCT01725321
NCT02052986
NCT02245074
NCT02392130
NCT02435160
NCT02471079
NCT02725671
NCT02898636
